database,ambition_view,Region,model_family,metric,label,unit,Pathway,n,median
Full,1.5C,R10AFRICA,MESSAGEix,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-CMT,25,0.1253819120229479
Full,1.5C,R10AFRICA,MESSAGEix,decommission_jobyears_per_1k,Decommissioning job-years,"job-years per 1,000",High-RE,3,1.365421870007086
Full,1.5C,R10AFRICA,MESSAGEix,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-CMT,25,0.06498170870471102
Full,1.5C,R10AFRICA,MESSAGEix,gross_plant_jobs_displaced_per_1k,Gross plant jobs displaced at retirement,"positions per 1,000",High-RE,3,1.2942636881295686
Full,1.5C,R10AFRICA,MESSAGEix,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-CMT,25,0.020218512037867137
Full,1.5C,R10AFRICA,MESSAGEix,gross_upstream_jobs_displaced_per_1k,Gross upstream jobs displaced at retirement,"positions per 1,000",High-RE,3,0.035566961021878986
Full,1.5C,R10AFRICA,MESSAGEix,inferred_retirements_GW,Inferred retired capacity,GW,High-CMT,25,106.33317147738912
Full,1.5C,R10AFRICA,MESSAGEix,inferred_retirements_GW,Inferred retired capacity,GW,High-RE,3,3167.3134042510756
Full,1.5C,R10AFRICA,MESSAGEix,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-CMT,25,252.54475182885233
Full,1.5C,R10AFRICA,MESSAGEix,jobs_RE_minus_fossil_per_1k,Renewable minus fossil job-years (diagnostic),"job-years per 1,000",High-RE,3,278.58738092750093
Full,1.5C,R10AFRICA,MESSAGEix,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-CMT,25,321.93221877733134
Full,1.5C,R10AFRICA,MESSAGEix,total_energy_jobyears_no_decommission_per_1k,"Total energy job-years, excluding decommissioning","job-years per 1,000",High-RE,3,360.96087250428644
Full,1.5C,R10AFRICA,MESSAGEix,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-CMT,25,322.30006407188057
Full,1.5C,R10AFRICA,MESSAGEix,total_energy_jobyears_per_1k,"Total energy job-years, including decommissioning","job-years per 1,000",High-RE,3,362.3262943742936
