ambition_view,family,project,Pathway,component,n,median
2C,REMIND,ENGAGE,High-RE,jobs_Decommission,73,5.8074968429714104
2C,REMIND,ENGAGE,High-RE,jobs_EnergyTotal,73,612.0134797570514
2C,REMIND,ENGAGE,High-RE,jobs_Fossil,73,23.79587964844249
2C,REMIND,ENGAGE,High-RE,jobs_Nuclear,73,5.910789008157783
2C,REMIND,ENGAGE,High-RE,jobs_Renewables,73,567.5826979607937
2C,REMIND,LeastTotalCost,High-RE,jobs_Bioenergy,11,3.7268906554394845
2C,REMIND,LeastTotalCost,High-RE,jobs_Decommission,11,6.037786910284285
2C,REMIND,LeastTotalCost,High-RE,jobs_EnergyTotal,11,609.8076946591709
2C,REMIND,LeastTotalCost,High-RE,jobs_Fossil,11,26.620452927484894
2C,REMIND,LeastTotalCost,High-RE,jobs_Nuclear,11,11.9106534795711
2C,REMIND,LeastTotalCost,High-RE,jobs_Renewables,11,550.7835508691375
2C,REMIND,NAVIGATE,High-RE,jobs_Bioenergy,7,3.1183144789851793
2C,REMIND,NAVIGATE,High-RE,jobs_Decommission,7,4.309762386960061
2C,REMIND,NAVIGATE,High-RE,jobs_EnergyTotal,7,433.0884448586681
2C,REMIND,NAVIGATE,High-RE,jobs_Fossil,7,22.295515530197513
2C,REMIND,NAVIGATE,High-RE,jobs_Nuclear,7,4.024665911585389
2C,REMIND,NAVIGATE,High-RE,jobs_Renewables,7,390.55306464835945
2C,REMIND,NGFS Phase 2,High-RE,jobs_Bioenergy,5,3.1039966131856436
2C,REMIND,NGFS Phase 2,High-RE,jobs_Decommission,5,4.306690787881834
2C,REMIND,NGFS Phase 2,High-RE,jobs_EnergyTotal,5,373.79811327541336
2C,REMIND,NGFS Phase 2,High-RE,jobs_Fossil,5,16.698226619837847
2C,REMIND,NGFS Phase 2,High-RE,jobs_Nuclear,5,2.8812636658267716
2C,REMIND,NGFS Phase 2,High-RE,jobs_Renewables,5,346.9190508702877
2C,REMIND,NGFS Phase 5,High-RE,jobs_Bioenergy,5,3.2146017390898973
2C,REMIND,NGFS Phase 5,High-RE,jobs_Decommission,5,5.227856542412107
2C,REMIND,NGFS Phase 5,High-RE,jobs_EnergyTotal,5,485.136064910009
2C,REMIND,NGFS Phase 5,High-RE,jobs_Fossil,5,22.140725159266722
2C,REMIND,NGFS Phase 5,High-RE,jobs_Nuclear,5,4.6192402762319045
2C,REMIND,NGFS Phase 5,High-RE,jobs_Renewables,5,450.04256643631606
2C,REMIND,PEP,High-RE,jobs_Bioenergy,5,1.117307636067372
2C,REMIND,PEP,High-RE,jobs_Decommission,5,6.243320317662708
2C,REMIND,PEP,High-RE,jobs_EnergyTotal,5,569.182941876135
2C,REMIND,PEP,High-RE,jobs_Fossil,5,28.91644210272278
2C,REMIND,PEP,High-RE,jobs_Nuclear,5,15.658017007843132
