Model,Scenario,Region,Category,jobs_Bioenergy,jobs_Fossil,jobs_Nuclear,jobs_Renewables,jobs_Decommission,gross_plant_jobs_displaced,gross_upstream_jobs_displaced,inferred_retirements_GW,absolute_balance_residual_GW,unexplained_additions_GW,jobs_EnergyTotal_no_decommission,jobs_EnergyTotal,jobs_RE_minus_fossil
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,R10EUROPE,C3,61166.14633735,14051.171477623557,8031.458693060611,51864.76587490747,681.3770196093641,257.81907094297543,216.64474961417392,1039.234,0,0,135113.54238294164,135794.919402551,37813.594397283916
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,R10INDIA+,C3,17261.405463168,24104.119115478297,5072.311186,430682.6749628964,755.1515131153614,290.0652719313053,206.9577867276513,503.724,0,0,477120.5107275427,477875.6622406581,406578.5558474181
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,R10LATIN_AM,C3,52688.609708143995,6138.549663540357,1090.0859172192283,67497.90948118387,459.73211993707525,114.33092904982202,43.55102472460148,202.46449999999996,0,0,127415.15477008745,127874.88689002453,61359.35981764352
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,R10MIDDLE_EAST,C3,9206.371377224,15222.008748622804,44.510982284261075,162869.99851703626,441.94548180120194,255.0520240144683,19.361257282433886,440.7432,0,0,187342.88962516733,187784.83510696853,147647.98976841345
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,R10NORTH_AM,C3,67741.77775389,7700.787341718285,21285.22704857939,60293.36405531164,631.1070862749954,199.28446392979197,20.464202670671998,882.9140000000001,0,0,157021.1561994993,157652.2632857743,52592.57671359336
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,R10PAC_OECD,C3,3742.22975041,4370.063528497464,2114.6023621890045,22974.000449177034,257.2050024736822,65.87698860513228,56.68209381863415,345.09839999999997,0,0,33200.896090273505,33458.10109274719,18603.93692067957
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,R10REF_ECON,C3,72628.8588084,66474.82689197807,49944.34265961178,208065.75017254072,3010.0202878921036,884.8899491017052,500.8939911589229,1019.1864999999998,0,0,397113.77853253053,400123.7988204226,141590.92328056265
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,R10REST_ASIA,C3,42464.999815112,25351.504552784598,31641.267589609866,199457.55292161368,902.7174211281676,147.89780513985733,321.70630633250795,366.1151000000002,0,0,298915.32487912016,299818.04230024834,174106.04836882907
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,R10AFRICA,C2,1465.5013127500001,2213.7229201891337,349.3251282,213409.2888212547,171.76292259220915,37.169306958707814,14.761598806506,155.37210000000005,0,0,217437.83818239387,217609.60110498607,211195.56590106557
AIM/CGE V2.2,ENGAGE-Feasibility-Maximum-Effort/Institutional,R10CHINA+,C2,104977.575493916,194738.50665809892,10483.60845349,518669.6867092,3430.2602862535455,2158.831874754666,1352.2942086846601,2262.7635,0,0,828869.3773147049,832299.6376009585,323931.180051101
