ambition_view,family,project,component,n_High-CDR,n_High-RE,median_High-CDR,median_High-RE,comparable,robust_3_per_arm,raw_difference_high_re_minus_high_cdr,favours
2C,MESSAGEix,COVID,jobs_Bioenergy,5,0,0,0,FALSE,FALSE,0,NA
2C,MESSAGEix,COVID,jobs_Decommission,5,0,0.5532258419480824,0,FALSE,FALSE,-0.5532258419480824,NA
2C,MESSAGEix,COVID,jobs_EnergyTotal,5,0,5.132992081870203,0,FALSE,FALSE,-5.132992081870203,NA
2C,MESSAGEix,COVID,jobs_Fossil,5,0,4.579954644546672,0,FALSE,FALSE,-4.579954644546672,NA
2C,MESSAGEix,COVID,jobs_Nuclear,5,0,0,0,FALSE,FALSE,0,NA
2C,MESSAGEix,COVID,jobs_Renewables,5,0,0,0,FALSE,FALSE,0,NA
2C,MESSAGEix,ENGAGE,jobs_Bioenergy,62,20,2.567857367911791,2.6778721048194782,TRUE,TRUE,0.11001473690768737,High-RE
2C,MESSAGEix,ENGAGE,jobs_Decommission,62,20,1.1361280551941795,1.166874297193758,TRUE,TRUE,0.03074624199957854,High-RE
2C,MESSAGEix,ENGAGE,jobs_EnergyTotal,62,20,275.6231653103852,297.48478690153274,TRUE,TRUE,21.861621591147525,High-RE
2C,MESSAGEix,ENGAGE,jobs_Fossil,62,20,27.507356627794067,17.823078794249057,TRUE,TRUE,-9.68427783354501,High-CDR
2C,MESSAGEix,ENGAGE,jobs_Nuclear,62,20,34.74085281656366,49.01085104287114,TRUE,TRUE,14.269998226307479,High-RE
2C,MESSAGEix,ENGAGE,jobs_Renewables,62,20,209.77172109481944,234.77410467277832,TRUE,TRUE,25.00238357795888,High-RE
2C,MESSAGEix,GEI,jobs_Bioenergy,6,1,2.8867060519159446,1.397501294450494,TRUE,FALSE,-1.4892047574654506,High-CDR
2C,MESSAGEix,GEI,jobs_Decommission,6,1,3.405956154709952,3.70128763407696,TRUE,FALSE,0.2953314793670079,High-RE
2C,MESSAGEix,GEI,jobs_EnergyTotal,6,1,318.07293110918397,397.73833616983933,TRUE,FALSE,79.66540506065536,High-RE
2C,MESSAGEix,GEI,jobs_Fossil,6,1,55.880445857390896,31.669448682424864,TRUE,FALSE,-24.21099717496603,High-CDR
2C,MESSAGEix,GEI,jobs_Nuclear,6,1,29.78661569006385,25.994875375773404,TRUE,FALSE,-3.791740314290447,High-CDR
2C,MESSAGEix,GEI,jobs_Renewables,6,1,224.6039842529145,334.9752231831136,TRUE,FALSE,110.3712389301991,High-RE
2C,MESSAGEix,NGFS Phase 2,jobs_Bioenergy,1,1,2.108139928659586,3.2499700714659037,TRUE,FALSE,1.1418301428063176,High-RE
2C,MESSAGEix,NGFS Phase 2,jobs_Decommission,1,1,1.0179125952567976,0.9304378728230153,TRUE,FALSE,-0.08747472243378229,High-CDR
2C,MESSAGEix,NGFS Phase 2,jobs_EnergyTotal,1,1,267.03188492640766,289.58744420335063,TRUE,FALSE,22.555559276942972,High-RE
2C,MESSAGEix,NGFS Phase 2,jobs_Fossil,1,1,21.934341393435854,19.723106335465605,TRUE,FALSE,-2.2112350579702493,High-CDR
2C,MESSAGEix,NGFS Phase 2,jobs_Nuclear,1,1,35.44005112263082,26.561934105122866,TRUE,FALSE,-8.878117017507954,High-CDR
2C,MESSAGEix,NGFS Phase 2,jobs_Renewables,1,1,206.5314398864246,239.12199581847327,TRUE,FALSE,32.59055593204866,High-RE
2C,MESSAGEix,NGFS Phase 5,jobs_Bioenergy,0,2,0,0.9377735919033857,FALSE,FALSE,0.9377735919033857,NA
2C,MESSAGEix,NGFS Phase 5,jobs_Decommission,0,2,0,4.246902883612874,FALSE,FALSE,4.246902883612874,NA
