"model","scenario","Category","r10_region","year","deaths_pm25","deaths_o3","deaths_total"
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REST_ASIA",2020,660829,0,660829
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REST_ASIA",2030,692687,0,692687
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REST_ASIA",2040,600750,0,600750
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REST_ASIA",2050,650045,0,650045
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REST_ASIA",2060,730378,0,730378
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REST_ASIA",2070,808037,0,808037
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REST_ASIA",2080,886259,0,886259
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REST_ASIA",2090,944095,0,944095
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200","C4","R10REST_ASIA",2100,994732,0,994732
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10AFRICA",2010,431975,0,431975
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10AFRICA",2020,469853,0,469853
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10AFRICA",2030,507767,0,507767
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10AFRICA",2040,591374,0,591374
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10AFRICA",2050,736186,0,736186
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10AFRICA",2060,914965,0,914965
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10AFRICA",2070,1118045,0,1118045
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10AFRICA",2080,1341830,0,1341830
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10AFRICA",2090,1590326,0,1590326
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10AFRICA",2100,1859476,0,1859476
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10CHINA+",2010,1588024,0,1588024
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10CHINA+",2020,1659627,0,1659627
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10CHINA+",2030,1567662,0,1567662
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10CHINA+",2040,1100342,0,1100342
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10CHINA+",2050,1002795,0,1002795
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10CHINA+",2060,921230,0,921230
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10CHINA+",2070,850208,0,850208
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10CHINA+",2080,786064,0,786064
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10CHINA+",2090,743398,0,743398
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10CHINA+",2100,690512,0,690512
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10EUROPE",2010,261163,0,261163
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10EUROPE",2020,234927,0,234927
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10EUROPE",2030,202831,0,202831
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10EUROPE",2040,185120,0,185120
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10EUROPE",2050,203075,0,203075
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10EUROPE",2060,208647,0,208647
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10EUROPE",2070,203997,0,203997
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10EUROPE",2080,202856,0,202856
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10EUROPE",2090,210977,0,210977
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10EUROPE",2100,218835,0,218835
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10INDIA+",2010,1214206,0,1214206
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10INDIA+",2020,1228980,0,1228980
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10INDIA+",2030,1437566,0,1437566
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10INDIA+",2040,975450,0,975450
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10INDIA+",2050,975196,0,975196
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10INDIA+",2060,1072048,0,1072048
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10INDIA+",2070,1175448,0,1175448
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10INDIA+",2080,1267369,0,1267369
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10INDIA+",2090,1325132,0,1325132
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10INDIA+",2100,1364507,0,1364507
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10LATIN_AM",2010,152861,0,152861
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10LATIN_AM",2020,170610,0,170610
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10LATIN_AM",2030,194168,0,194168
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10LATIN_AM",2040,199682,0,199682
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10LATIN_AM",2050,221328,0,221328
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10LATIN_AM",2060,244755,0,244755
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10LATIN_AM",2070,267022,0,267022
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10LATIN_AM",2080,284545,0,284545
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10LATIN_AM",2090,299833,0,299833
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10LATIN_AM",2100,311185,0,311185
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10MIDDLE_EAST",2010,209889,0,209889
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10MIDDLE_EAST",2020,258654,0,258654
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10MIDDLE_EAST",2030,282402,0,282402
"AIM/CGE V2.2","ENGAGE-INDCi2030-1200f","C4","R10MIDDLE_EAST",2040,315608,0,315608
