family,Model,Scenario,project,amb,classification_state,cdr_all,cdr_cutoff,cdr_ratio_to_cutoff,cdr_percentile,renewables,re_cutoff,re_ratio_to_cutoff,re_percentile
REMIND,REMIND 2.1,TechCost-SSP2-1100-elh2H,TechCost,2C,High-RE,164056.07145,550795.0699210565,0.29785319515208,0.2674285714285714,4183573.3316,1914001.2595672116,2.185773551970377,0.9885714285714285
REMIND,REMIND 2.1,TechCost-SSP2-1100-gasH,TechCost,2C,High-RE,161076.62025,550795.0699210565,0.2924438308300155,0.2662857142857143,4014388.80325,1914001.2595672116,2.097380439633421,0.968
REMIND,REMIND 2.1,TechCost-SSP2-1100-nucH,TechCost,2C,High-RE,155216.30604999998,550795.0699210565,0.2818040947103005,0.25942857142857145,3698983.33165,1914001.2595672116,1.9325919004287402,0.9337142857142857
REMIND,REMIND 2.1,TechCost-SSP2-1100-oilH,TechCost,2C,High-RE,155564.5842,550795.0699210565,0.28243641364164085,0.26057142857142856,3998088.9313,1914001.2595672116,2.0888643156922666,0.9657142857142857
REMIND,REMIND 2.1,TechCost-SSP2-1100-spvH,TechCost,2C,High-RE,147672.2928,550795.0699210565,0.268107506519921,0.24685714285714286,4349950.5743,1914001.2595672116,2.272699953856665,0.9954285714285714
REMIND,REMIND 2.1,TechCost-SSP2-1100-windH,TechCost,2C,High-RE,139922.5894,550795.0699210565,0.254037476079905,0.2342857142857143,4611507.60265,1914001.2595672116,2.409354528686538,0.9977142857142857
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective,ENGAGE,1.5C,High-RE,28205.7485686,565430.0377324205,0.04988371095691216,0.025974025974025976,4261815.9403137,2704533.9788519694,1.5758041768522246,0.8874458874458875
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology,ENGAGE,1.5C,High-RE,22085.1166922,565430.0377324205,0.03905897320342112,0.021645021645021644,4406256.3550693495,2704533.9788519694,1.6292109433728519,0.9177489177489178
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional,ENGAGE,1.5C,Low both - excluded,17581.7757044,565430.0377324205,0.031094520154799868,0.012987012987012988,2012518.37459095,2704533.9788519694,0.7441275984431267,0.3333333333333333
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional [Optimistic],ENGAGE,1.5C,Low both - excluded,19192.8403177,565430.0377324205,0.03394379328461263,0.017316017316017316,2073441.3192293,2704533.9788519694,0.7666538248151136,0.3852813852813853
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Enablers & Institutional,ENGAGE,1.5C,Low both - excluded,15048.4875457,565430.0377324205,0.02661423437292064,0.004329004329004329,2204390.5884111,2704533.9788519694,0.815072247436443,0.5151515151515151
REMIND,REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Enablers & Institutional [Optimistic],ENGAGE,1.5C,Low both - excluded,16234.55965775,565430.0377324205,0.028711880470405272,0.008658008658008658,2197017.47767935,2704533.9788519694,0.8123460436655147,0.5021645021645021
REMIND,REMIND 3.0,ENGAGE-Feasibility-1000/Cost-Effective,ENGAGE,2C,High-RE,51588.2398742,550795.0699210565,0.09366140456121722,0.13028571428571428,3992170.56945975,1914001.2595672116,2.0857721746549154,0.9634285714285714
REMIND,REMIND 3.0,ENGAGE-Feasibility-1000/Enablers & Institutional,ENGAGE,2C,High-RE,21227.29445185,550795.0699210565,0.0385393690159435,0.09028571428571429,2054324.9083624,1914001.2595672116,1.0733142928165669,0.7542857142857143
