Model,Scenario
POLES-JRC ENGAGE,ENGAGE-NPi2020-800f
POLES-JRC ENGAGE,ENGAGE-NPi2020-900
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f
REMIND 2.1,CEMICS-GDPgrowth-1.5<U+00B0>C
REMIND 2.1,CEMICS-GDPgrowth-2.0<U+00B0>C
REMIND 2.1,CEMICS-HotellingConst-2.0<U+00B0>C
REMIND 2.1,CEMICS-Linear-1.5<U+00B0>C
REMIND 2.1,CEMICS-Linear-2.0<U+00B0>C
REMIND 2.1,CEMICS-NPI
REMIND 2.1,CEMICS-Optimal-1.5<U+00B0>C
REMIND 2.1,CEMICS-Optimal-2.0<U+00B0>C
REMIND 2.1,LeastTotalCost-Base-brkLR15-SSP2-P50
REMIND 2.1,LeastTotalCost-CBA-brkLR15-SSP2-P50
REMIND 2.1,LeastTotalCost-CBA-brkSR15-SSP2-P50
REMIND 2.1,LeastTotalCost-CEA-brkLR15-SSP2-P50
REMIND 2.1,LeastTotalCost-CEA-brkSR15-SSP2-P50
REMIND 2.1,LeastTotalCost-LTC-brkLR15-SSP2-P50
REMIND 2.1,LeastTotalCost-LTC-brkSR15-SSP2-P50
REMIND 2.1,LeastTotalCost-NDC-brkLR15-SSP2-P50
REMIND 2.1,LeastTotalCost-NDC-brkSR15-SSP2-P50
REMIND 2.1,LeastTotalCost-NPi-brkLR15-SSP2-P50
REMIND 2.1,R2p1-SSP1-NDC
REMIND 2.1,R2p1-SSP2-1100
REMIND 2.1,R2p1-SSP2-1300
REMIND 2.1,R2p1-SSP2-900
REMIND 2.1,R2p1-SSP2-Baseline
REMIND 2.1,R2p1-SSP2-NDC
REMIND 2.1,R2p1-SSP2-NPi
REMIND 2.1,R2p1-SSP5-1100
REMIND 2.1,TechCost-SSP2-1100-bioH
REMIND 2.1,TechCost-SSP2-1100-ccsH
REMIND 2.1,TechCost-SSP2-1100-coalH
REMIND 2.1,TechCost-SSP2-1100-elh2H
REMIND 2.1,TechCost-SSP2-1100-gasH
REMIND 2.1,TechCost-SSP2-1100-nucH
REMIND 2.1,TechCost-SSP2-1100-oilH
REMIND 2.1,TechCost-SSP2-1100-spvH
REMIND 2.1,TechCost-SSP2-1100-windH
REMIND 3.0,ENGAGE-Feasibility-1000/Cost-Effective
REMIND 3.0,ENGAGE-Feasibility-1000/Enablers & Institutional
REMIND 3.0,ENGAGE-Feasibility-1000/Institutional
REMIND 3.0,ENGAGE-Feasibility-1000/Technology
REMIND 3.0,ENGAGE-Feasibility-1000/Technology & Enablers & Institutional
REMIND 3.0,ENGAGE-Feasibility-1000/Technology & Institutional
REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Cost-Effective
REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Enablers & Institutional [Pessimistic]
REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Institutional
REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Institutional [Optimistic]
REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Institutional [Pessimistic]
REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology
REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Enablers & Institutional [Pessimistic]
REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional
REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional [Optimistic]
REMIND 3.0,ENGAGE-Feasibility-Maximum-Effort/Technology & Institutional [Pessimistic]
REMIND 3.0,NAVIGATE Demand-1.5<U+00B0>C-all_u
REMIND 3.0,NAVIGATE Demand-2.0<U+00B0>C-all_u
REMIND 3.0,NAVIGATE Demand-NPi-act
REMIND 3.0,NAVIGATE Demand-NPi-ele
REMIND 3.0,NAVIGATE Demand-NPi-ref
REMIND-Buildings 2.0,BEG-600
REMIND-Buildings 2.0,BEG-600-Efficiency
REMIND-Buildings 2.0,BEG-Baseline
REMIND-MAgPIE 1.7-3.0,CD-LINKS-INDC2030i_1000
REMIND-MAgPIE 1.7-3.0,CD-LINKS-INDC2030i_1600
REMIND-MAgPIE 1.7-3.0,CD-LINKS-INDC2030i_400
REMIND-MAgPIE 1.7-3.0,CD-LINKS-INDCi
REMIND-MAgPIE 1.7-3.0,CD-LINKS-NPi
REMIND-MAgPIE 1.7-3.0,CD-LINKS-NPi2020_1000
REMIND-MAgPIE 1.7-3.0,CD-LINKS-NPi2020_1600
REMIND-MAgPIE 1.7-3.0,CD-LINKS-NPi2020_400
REMIND-MAgPIE 1.7-3.0,CD-LINKS-No-Policy
