"Model_Group","Model","Scenario","ModelGroup_Scenario","Region","Category","Variable","Total_Value","proxy"
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10NORTH_AM","C3","Fossil CCS",18228.6754,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10NORTH_AM","C3","Renewable Capacity",384245.9762,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10NORTH_AM","C3","Total CDR",18228.6754,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10PAC_OECD","C3","Fossil CCS",4515.1367,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10PAC_OECD","C3","Renewable Capacity",104847.0851,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10PAC_OECD","C3","Total CDR",4515.1367,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10REF_ECON","C3","Fossil CCS",18216.5343,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10REF_ECON","C3","Renewable Capacity",289256.0555,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10REF_ECON","C3","Total CDR",18216.5343,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10REST_ASIA","C3","Fossil CCS",16554.981,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10REST_ASIA","C3","Renewable Capacity",304271.0046,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology","COMPASS_ENGAGE-Feasibility-1000/Technology","R10REST_ASIA","C3","Total CDR",16554.981,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10AFRICA","C2","Fossil CCS",2671.5418,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10AFRICA","C2","Renewable Capacity",142951.8254,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10AFRICA","C2","Total CDR",2671.5418,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10CHINA+","C2","Fossil CCS",36267.46,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10CHINA+","C2","Renewable Capacity",728642.7556,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10CHINA+","C2","Total CDR",36267.46,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10EUROPE","C2","Fossil CCS",8461.1359,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10EUROPE","C2","Renewable Capacity",366147.266,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10EUROPE","C2","Total CDR",8461.1359,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10INDIA+","C2","Fossil CCS",4887.9417,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10INDIA+","C2","Renewable Capacity",379332.5357,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10INDIA+","C2","Total CDR",4887.9417,FALSE
"COMPASS","AIM/CGE V2.2","ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","COMPASS_ENGAGE-Feasibility-1000/Technology & Enablers & Institutional","R10LATIN_AM","C2","Fossil CCS",2880.671,FALSE
