database,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,ambition,Region,outcome,High-CMT,High-RE,n_High-CMT,n_High-RE,raw_advantage_high_re,direction
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10REF_ECON,headcount_pct,0.7104146539796581,0.5778586656995123,67,67,0.1325559882801458,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10REST_ASIA,gap_GJ_pc,1.8519486403518943,4.45568663342547,67,67,-2.603737993073576,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,R10REST_ASIA,headcount_pct,1.6645445653141053,1.6990253690602513,67,67,-0.03448080374614593,High-CMT
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,Aggregated R10 regions,gap_GJ_pc,5.389229674221666,4.331507279579098,226,230,1.0577223946425685,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,Aggregated R10 regions,headcount_pct,2.03098846708713,1.5197014084925007,226,230,0.5112870585946294,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10AFRICA,gap_GJ_pc,16.163034137904127,9.759915755731832,223,230,6.403118382172295,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10AFRICA,headcount_pct,3.9917341773957613,2.7762649975802645,223,230,1.2154691798154968,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10CHINA+,gap_GJ_pc,4.281759314311781,3.637504343745025,226,230,0.644254970566756,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10CHINA+,headcount_pct,1.811579711918121,1.6205176206294016,226,230,0.19106209128871932,High-RE
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,2C,R10EUROPE,gap_GJ_pc,0.01858673948864982,0.008455806621800803,226,230,0.010130932866849017,High-RE
