database,spec_id,is_baseline,threshold_scale,threshold_label,gini_shift,gini_label,efficiency_label,sef_rate,sef_floor,ambition,Region,outcome,Pathway,n_scenarios,median
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10PAC_OECD,gap_GJ_pc,High-RE,293,0.05086733483327882
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10PAC_OECD,headcount_pct,High-CMT,290,0.011593272585764992
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10PAC_OECD,headcount_pct,High-RE,293,0.040190022268909116
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REF_ECON,gap_GJ_pc,High-CMT,293,2.143901445600279
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REF_ECON,gap_GJ_pc,High-RE,297,2.150171480468725
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REF_ECON,headcount_pct,High-CMT,293,0.7988451475464189
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REF_ECON,headcount_pct,High-RE,297,0.7913504816076288
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REST_ASIA,gap_GJ_pc,High-CMT,290,2.282045921993122
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REST_ASIA,gap_GJ_pc,High-RE,297,4.965511439366602
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REST_ASIA,headcount_pct,High-CMT,290,1.744575681438949
Full,T0.75x_G+0.00_Ebase,FALSE,0.75,0.75x,0,Baseline Gini,Baseline improvement,0.019,0.5,All ambitions,R10REST_ASIA,headcount_pct,High-RE,297,1.8254967839120377
Full,T0.75x_G+0.00_Efast,FALSE,0.75,0.75x,0,Baseline Gini,Faster improvement,0.023,0.4,1.5C,Aggregated R10 regions,gap_GJ_pc,High-CMT,67,6.699298623573208
