database,ambition_view,Region,excluded_family,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,direction_coded_difference_million_deaths,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip
SCI-vetted,All ambitions,R10REST_ASIA,REMIND,69,42,56.248365,52.35789,3.890475000000002,6.916601042536974,High-RE,1.9740840467096288,High-RE,FALSE
SCI-vetted,All ambitions,R10REST_ASIA,WITCH,69,41,56.248365,59.82404,-3.575674999999997,-6.35694033062116,High-CDR,1.9740840467096288,High-RE,TRUE
SCI-vetted,1.5C,Aggregated R10 regions,GCAM,6,4,481.9203375,411.99061,69.92972750000001,14.510640464514534,High-RE,11.118371820114362,High-RE,FALSE
SCI-vetted,1.5C,Aggregated R10 regions,IMAGE,2,5,393.3719225,412.991225,-19.619302500000003,-4.9874689518543365,High-CDR,11.118371820114362,High-RE,TRUE
SCI-vetted,1.5C,Aggregated R10 regions,POLES,4,6,520.4065949999999,428.3386425,92.06795249999993,17.691542225747533,High-RE,11.118371820114362,High-RE,FALSE
SCI-vetted,1.5C,Aggregated R10 regions,REMIND,6,3,481.9203375,451.85919,30.061147500000004,6.237783542388892,High-RE,11.118371820114362,High-RE,FALSE
SCI-vetted,1.5C,R10AFRICA,GCAM,6,4,78.6303025,78.59090499999999,0.03939750000000686,0.05010472902607345,High-RE,-0.037355191403459,High-CDR,TRUE
SCI-vetted,1.5C,R10AFRICA,IMAGE,2,5,70.95993999999999,78.659675,-7.699735000000004,-10.850819490546364,High-CDR,-0.037355191403459,High-CDR,FALSE
SCI-vetted,1.5C,R10AFRICA,POLES,4,6,84.3068025,78.659675,5.6471275000000105,6.698305869209084,High-RE,-0.037355191403459,High-CDR,TRUE
SCI-vetted,1.5C,R10AFRICA,REMIND,6,3,78.6303025,81.344555,-2.7142525000000006,-3.4519166449855647,High-CDR,-0.037355191403459,High-CDR,FALSE
SCI-vetted,1.5C,R10CHINA+,GCAM,6,4,89.5881775,82.41145,7.176727499999998,8.010797518456046,High-RE,3.48703376625783,High-RE,FALSE
