database,ambition_view,Region,family,n_cdr,n_re,median_cdr_million_deaths,median_re_million_deaths,cliffs_delta_raw,comparable,robust,direction_coded_difference_million_deaths,relative_effect_pct,direction_coded_cliffs_delta,favours,pooled_relative_effect_pct,pooled_favours,agrees_with_pooled
Full,1.5C,R10AFRICA,AIM,1,0,80.6444,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-4.00324857145907,High-CDR,FALSE
Full,1.5C,R10AFRICA,GCAM,0,1,NA,81.344555,NA,FALSE,FALSE,NA,NA,NA,NA,-4.00324857145907,High-CDR,FALSE
Full,1.5C,R10AFRICA,IMAGE,23,0,78.52033,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-4.00324857145907,High-CDR,FALSE
Full,1.5C,R10AFRICA,MESSAGEix,23,3,75.463835,73.48171,-1,TRUE,TRUE,1.9821249999999964,2.626589279487315,1,High-RE,-4.00324857145907,High-CDR,FALSE
Full,1.5C,R10AFRICA,POLES,4,0,71.09128999999999,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-4.00324857145907,High-CDR,FALSE
Full,1.5C,R10AFRICA,REMIND,0,50,NA,78.4649275,NA,FALSE,FALSE,NA,NA,NA,NA,-4.00324857145907,High-CDR,FALSE
Full,1.5C,R10AFRICA,WITCH,6,0,66.83738500000001,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-4.00324857145907,High-CDR,FALSE
Full,1.5C,R10CHINA+,AIM,1,0,76.056,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0.5170422643697031,High-RE,FALSE
Full,1.5C,R10CHINA+,GCAM,0,1,NA,89.119805,NA,FALSE,FALSE,NA,NA,NA,NA,0.5170422643697031,High-RE,FALSE
Full,1.5C,R10CHINA+,IMAGE,23,0,88.115715,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0.5170422643697031,High-RE,FALSE
Full,1.5C,R10CHINA+,MESSAGEix,23,3,69.290255,73.84503,0.4782608695652174,TRUE,TRUE,-4.554774999999992,-6.57347126230087,-0.4782608695652174,High-CDR,0.5170422643697031,High-RE,FALSE
Full,1.5C,R10CHINA+,POLES,4,0,74.667135,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0.5170422643697031,High-RE,FALSE
Full,1.5C,R10CHINA+,REMIND,0,50,NA,78.54454,NA,FALSE,FALSE,NA,NA,NA,NA,0.5170422643697031,High-RE,FALSE
Full,1.5C,R10CHINA+,WITCH,6,0,88.52867,NA,NA,FALSE,FALSE,NA,NA,NA,NA,0.5170422643697031,High-RE,FALSE
Full,1.5C,R10EUROPE,AIM,1,0,15.759125,NA,NA,FALSE,FALSE,NA,NA,NA,NA,28.140059143538043,High-RE,FALSE
Full,1.5C,R10EUROPE,GCAM,0,1,NA,18.6016,NA,FALSE,FALSE,NA,NA,NA,NA,28.140059143538043,High-RE,FALSE
Full,1.5C,R10EUROPE,IMAGE,23,0,19.203655,NA,NA,FALSE,FALSE,NA,NA,NA,NA,28.140059143538043,High-RE,FALSE
Full,1.5C,R10EUROPE,MESSAGEix,23,3,13.42011,14.420805,0.4782608695652174,TRUE,TRUE,-1.0006950000000003,-7.456682545821162,-0.4782608695652174,High-CDR,28.140059143538043,High-RE,FALSE
Full,1.5C,R10EUROPE,POLES,4,0,11.75161,NA,NA,FALSE,FALSE,NA,NA,NA,NA,28.140059143538043,High-RE,FALSE
Full,1.5C,R10EUROPE,REMIND,0,50,NA,11.229755,NA,FALSE,FALSE,NA,NA,NA,NA,28.140059143538043,High-RE,FALSE
Full,1.5C,R10EUROPE,WITCH,6,0,17.582012499999998,NA,NA,FALSE,FALSE,NA,NA,NA,NA,28.140059143538043,High-RE,FALSE
Full,1.5C,R10INDIA+,AIM,1,0,87.89164,NA,NA,FALSE,FALSE,NA,NA,NA,NA,5.869439217355562,High-RE,FALSE
Full,1.5C,R10INDIA+,GCAM,0,1,NA,104.292145,NA,FALSE,FALSE,NA,NA,NA,NA,5.869439217355562,High-RE,FALSE
Full,1.5C,R10INDIA+,IMAGE,23,0,134.195905,NA,NA,FALSE,FALSE,NA,NA,NA,NA,5.869439217355562,High-RE,FALSE
Full,1.5C,R10INDIA+,MESSAGEix,23,3,109.321595,106.783845,-1,TRUE,TRUE,2.5377500000000026,2.321362032817032,1,High-RE,5.869439217355562,High-RE,TRUE
Full,1.5C,R10INDIA+,POLES,4,0,100.866825,NA,NA,FALSE,FALSE,NA,NA,NA,NA,5.869439217355562,High-RE,FALSE
Full,1.5C,R10INDIA+,REMIND,0,50,NA,106.25094000000001,NA,FALSE,FALSE,NA,NA,NA,NA,5.869439217355562,High-RE,FALSE
Full,1.5C,R10INDIA+,WITCH,6,0,83.907865,NA,NA,FALSE,FALSE,NA,NA,NA,NA,5.869439217355562,High-RE,FALSE
Full,1.5C,R10LATIN_AM,AIM,1,0,19.329555,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-2.816424218897393,High-CDR,FALSE
Full,1.5C,R10LATIN_AM,GCAM,0,1,NA,15.379195,NA,FALSE,FALSE,NA,NA,NA,NA,-2.816424218897393,High-CDR,FALSE
Full,1.5C,R10LATIN_AM,IMAGE,23,0,22.66771,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-2.816424218897393,High-CDR,FALSE
Full,1.5C,R10LATIN_AM,MESSAGEix,23,3,13.32975,13.94317,0.4782608695652174,TRUE,TRUE,-0.6134199999999996,-4.601886757065959,-0.4782608695652174,High-CDR,-2.816424218897393,High-CDR,TRUE
Full,1.5C,R10LATIN_AM,POLES,4,0,13.167055000000001,NA,NA,FALSE,FALSE,NA,NA,NA,NA,-2.816424218897393,High-CDR,FALSE
Full,1.5C,R10LATIN_AM,REMIND,0,50,NA,15.62623,NA,FALSE,FALSE,NA,NA,NA,NA,-2.816424218897393,High-CDR,FALSE
