database,ambition_view,Region,outcome,outcome_label,n_informative_families,n_robust_families,equal_family_mean_pct,equal_family_median_pct,robust_equal_family_mean_pct,robust_equal_family_median_pct,families_favour_re,families_favour_cdr,robust_families_favour_re,robust_families_favour_cdr
SCI-vetted,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,1,1,4.8277681047176335,4.8277681047176335,4.8277681047176335,4.8277681047176335,1,0,1,0
SCI-vetted,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,1,1,106.12122392785119,106.12122392785119,106.12122392785119,106.12122392785119,1,0,1,0
SCI-vetted,All ambitions,R10AFRICA,gap_GJ_pc,DLE gap,1,1,15.259754548446772,15.259754548446772,15.259754548446772,15.259754548446772,1,0,1,0
SCI-vetted,All ambitions,R10AFRICA,headcount_pct,Deprived headcount,1,1,21.786641517498396,21.786641517498396,21.786641517498396,21.786641517498396,1,0,1,0
SCI-vetted,All ambitions,R10AFRICA,mortality_million_deaths,PM2.5 mortality,1,1,-1.1331005902336915,-1.1331005902336915,-1.1331005902336915,-1.1331005902336915,0,1,0,1
SCI-vetted,All ambitions,R10AFRICA,total_energy_jobyears_per_1k,Employment,1,1,251.33080128692097,251.33080128692097,251.33080128692097,251.33080128692097,1,0,1,0
SCI-vetted,All ambitions,R10CHINA+,gap_GJ_pc,DLE gap,1,1,4.252663069194356,4.252663069194356,4.252663069194356,4.252663069194356,1,0,1,0
SCI-vetted,All ambitions,R10CHINA+,headcount_pct,Deprived headcount,1,1,15.848159624024047,15.848159624024047,15.848159624024047,15.848159624024047,1,0,1,0
SCI-vetted,All ambitions,R10CHINA+,mortality_million_deaths,PM2.5 mortality,1,1,7.4425605861238235,7.4425605861238235,7.4425605861238235,7.4425605861238235,1,0,1,0
SCI-vetted,All ambitions,R10CHINA+,total_energy_jobyears_per_1k,Employment,1,1,83.74135194862474,83.74135194862474,83.74135194862474,83.74135194862474,1,0,1,0
SCI-vetted,All ambitions,R10EUROPE,gap_GJ_pc,DLE gap,1,1,-30.062067170936167,-30.062067170936167,-30.062067170936167,-30.062067170936167,0,1,0,1
SCI-vetted,All ambitions,R10EUROPE,headcount_pct,Deprived headcount,1,1,-23.126666109073696,-23.126666109073696,-23.126666109073696,-23.126666109073696,0,1,0,1
SCI-vetted,All ambitions,R10EUROPE,mortality_million_deaths,PM2.5 mortality,1,1,9.796535016644045,9.796535016644045,9.796535016644045,9.796535016644045,1,0,1,0
SCI-vetted,All ambitions,R10EUROPE,total_energy_jobyears_per_1k,Employment,1,1,15.430183514517857,15.430183514517857,15.430183514517857,15.430183514517857,1,0,1,0
SCI-vetted,All ambitions,R10INDIA+,gap_GJ_pc,DLE gap,1,1,58.579620602272676,58.579620602272676,58.579620602272676,58.579620602272676,1,0,1,0
SCI-vetted,All ambitions,R10INDIA+,headcount_pct,Deprived headcount,1,1,57.108661693549465,57.108661693549465,57.108661693549465,57.108661693549465,1,0,1,0
SCI-vetted,All ambitions,R10INDIA+,mortality_million_deaths,PM2.5 mortality,1,1,7.466329240252022,7.466329240252022,7.466329240252022,7.466329240252022,1,0,1,0
SCI-vetted,All ambitions,R10INDIA+,total_energy_jobyears_per_1k,Employment,1,1,34.319755215955894,34.319755215955894,34.319755215955894,34.319755215955894,1,0,1,0
