database,ambition_view,Region,outcome,outcome_label,family,n_cdr,n_re,median_cdr,median_re,direction_coded_difference,loo_effect_pct,favours,pooled_effect_pct,pooled_favours,direction_flip,influence_shift_pct_points,family_n_cdr,family_n_re,family_effect_pct,family_favours,family_robust,family_agrees_with_pooled,targeted,target_reason
SCI-vetted,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,WITCH,63,35,6.911010776806588,4.692160831772337,2.2188499450342514,32.10601193794591,High-RE,-9.98065589994765,High-CDR,TRUE,42.08666783789356,0,28,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,MESSAGEix,63,60,6.911010776806588,6.192481009323652,0.7185297674829361,10.396883910155777,High-RE,-9.98065589994765,High-CDR,TRUE,20.37753981010343,0,3,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,REMIND,63,39,6.911010776806588,12.765722951186726,-5.854712174380138,-84.71571472625398,High-CDR,-9.98065589994765,High-CDR,FALSE,74.73505882630633,0,24,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
SCI-vetted,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,POLES,22,63,5.837998429552872,7.600774981647953,-1.7627765520950804,-30.194878833327987,High-CDR,-9.98065589994765,High-CDR,FALSE,20.214222933380338,41,0,NA,NA,FALSE,FALSE,TRUE,Large leave-one-family-out magnitude shift
SCI-vetted,2C,Aggregated R10 regions,headcount_pct,Deprived headcount,IMAGE,41,60,7.384700307621886,8.327895130355873,-0.9431948227339877,-12.7722830100566,High-CDR,-9.98065589994765,High-CDR,FALSE,2.7916271101089514,22,3,10.525362451075894,High-RE,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
SCI-vetted,2C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,POLES,22,63,520.9916250000001,442.17121,78.82041500000014,15.128921698117532,High-RE,-5.349675826732812,High-CDR,TRUE,20.478597524850343,41,0,NA,NA,FALSE,FALSE,TRUE,Pooled direction flips when family is excluded
SCI-vetted,2C,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,IMAGE,41,60,410.06586,442.093405,-32.02754500000003,-7.810341733886364,High-CDR,-5.349675826732812,High-CDR,FALSE,2.460665907153552,22,3,4.233988406243592,High-RE,TRUE,FALSE,TRUE,Robust family direction disagrees with pooled
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,POLES,210,292,285.34485021770786,596.9112417795626,311.56639156185474,109.18942161533344,High-RE,91.73158400409754,High-RE,FALSE,17.457837611235902,60,9,13.51125614967618,High-RE,TRUE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,COFFEE,270,293,303.5695088216967,596.8501395656695,293.2806307439728,96.61070108204869,High-RE,91.73158400409754,High-RE,FALSE,4.87911707795115,0,8,NA,NA,FALSE,FALSE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,IMAGE,204,299,312.7732575160311,588.1474721186423,275.37421460261123,88.04276196423123,High-RE,91.73158400409754,High-RE,FALSE,3.6888220398663094,66,2,82.2956310260241,High-RE,FALSE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,TIAM,258,301,308.8510681238731,582.0386278172977,273.18755969342453,88.45284601180502,High-RE,91.73158400409754,High-RE,FALSE,3.2787379922925197,12,0,NA,NA,FALSE,FALSE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,GCAM,267,296,302.7579094096578,580.0291114524703,277.27120204281243,91.58181947532222,High-RE,91.73158400409754,High-RE,FALSE,0.14976452877532154,3,5,82.6160400231132,High-RE,TRUE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,IMAGE,222,291,12.808658792844987,11.514369738067415,1.2942890547775718,10.10479766625192,High-RE,27.144733280478757,High-RE,FALSE,17.039935614226835,68,2,21.235049719270865,High-RE,FALSE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,MESSAGEix,191,266,19.70754653234446,11.578158000090955,8.129388532253504,41.250129836869206,High-RE,27.144733280478757,High-RE,FALSE,14.105396556390449,99,27,8.33363868169357,High-RE,TRUE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,WITCH,282,277,15.47193605680537,11.344561133335505,4.127374923469866,26.676525215177765,High-RE,27.144733280478757,High-RE,FALSE,0.4682080653009919,8,16,47.35522882214786,High-RE,TRUE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,COFFEE,290,293,15.850750316180047,11.54810641989833,4.302643896281717,27.144733280478757,High-RE,27.144733280478757,High-RE,FALSE,0,0,0,NA,NA,FALSE,FALSE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,gap_GJ_pc,DLE gap,TIAM,290,293,15.850750316180047,11.54810641989833,4.302643896281717,27.144733280478757,High-RE,27.144733280478757,High-RE,FALSE,0,0,0,NA,NA,FALSE,FALSE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,IMAGE,222,291,4.699686148795685,4.1912198043353595,0.5084663444603255,10.819155329992029,High-RE,28.299097892924813,High-RE,FALSE,17.479942562932784,68,2,26.892719583983013,High-RE,FALSE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,POLES,230,284,4.699686148795685,4.1717572296350545,0.5279289191606304,11.233280318004097,High-RE,28.299097892924813,High-RE,FALSE,17.065817574920715,60,9,3.424218421716024,High-RE,TRUE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,MESSAGEix,191,266,7.2523509437786835,4.206436236805626,3.0459147069730577,41.99899771240315,High-RE,28.299097892924813,High-RE,FALSE,13.69989981947834,99,27,5.578903061566129,High-RE,TRUE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,WITCH,282,277,5.627354399558833,4.134979374661465,1.4923750248973677,26.520011339864528,High-RE,28.299097892924813,High-RE,FALSE,1.779086553060285,8,16,50.88820998986419,High-RE,TRUE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,COFFEE,290,293,5.847564373702934,4.192756407236945,1.654807966465989,28.299097892924813,High-RE,28.299097892924813,High-RE,FALSE,0,0,0,NA,NA,FALSE,FALSE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,headcount_pct,Deprived headcount,TIAM,290,293,5.847564373702934,4.192756407236945,1.654807966465989,28.299097892924813,High-RE,28.299097892924813,High-RE,FALSE,0,0,0,NA,NA,FALSE,FALSE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,POLES,186,226,460.0918725,427.66765250000003,32.42421999999999,7.047335964405672,High-RE,2.399466499825661,High-RE,FALSE,4.647869464580011,60,0,NA,NA,FALSE,FALSE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,AIM,225,222,446.6981,428.36181750000003,18.33628249999998,4.104849002044106,High-RE,2.399466499825661,High-RE,FALSE,1.7053825022184448,21,4,2.2751543014038065,High-RE,TRUE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,IMAGE,187,224,430.64255000000003,427.60837,3.034180000000049,0.7045704146048849,High-RE,2.399466499825661,High-RE,FALSE,1.6948960852207762,59,2,2.191942190754993,High-RE,FALSE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,MESSAGEix,151,202,431.31202,426.6242925,4.687727499999994,1.086852970153717,High-RE,2.399466499825661,High-RE,FALSE,1.3126135296719441,95,24,1.862658859531283,High-RE,TRUE,TRUE,FALSE,Not targeted
Full,All ambitions,Aggregated R10 regions,mortality_million_deaths,PM2.5 mortality,GCAM,243,221,437.579795,427.54933,10.030464999999992,2.2922596323260294,High-RE,2.399466499825661,High-RE,FALSE,0.10720686749963182,3,5,15.146343607118276,High-RE,TRUE,TRUE,FALSE,Not targeted
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,POLES,54,66,342.19558773504366,751.6697106206666,409.47412288562293,119.66084238428928,High-RE,109.08645254710342,High-RE,FALSE,10.574389837185862,4,1,2.200231852064077,High-RE,FALSE,TRUE,FALSE,Not targeted
Full,1.5C,Aggregated R10 regions,total_energy_jobyears_per_1k,Employment,WITCH,52,67,341.5557660741536,748.6547433260449,407.0989772518913,119.18960758036447,High-RE,109.08645254710342,High-RE,FALSE,10.103155033261046,6,0,NA,NA,FALSE,FALSE,FALSE,Not targeted
