database,Model,Scenario,Pathway,amb,family,project,Region,outcome,value,outcome_label,outcome_unit,lower_is_better
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10AFRICA,total_energy_jobyears_per_1k,221.23999538999456,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10CHINA+,total_energy_jobyears_per_1k,694.4581229630143,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10EUROPE,total_energy_jobyears_per_1k,285.64294900789275,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10INDIA+,total_energy_jobyears_per_1k,426.50618847625725,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10LATIN_AM,total_energy_jobyears_per_1k,429.6641569214704,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10MIDDLE_EAST,total_energy_jobyears_per_1k,486.88750910074975,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10NORTH_AM,total_energy_jobyears_per_1k,514.4062541789231,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10PAC_OECD,total_energy_jobyears_per_1k,271.9070693328321,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10REF_ECON,total_energy_jobyears_per_1k,2153.8142324698033,Employment,"total energy-sector job-years per 1,000 people",FALSE
Full,AIM/CGE V2.2,ENGAGE-INDCi2030-1200f,High-CDR,2C,AIM,ENGAGE,R10REST_ASIA,total_energy_jobyears_per_1k,318.4782595295283,Employment,"total energy-sector job-years per 1,000 people",FALSE
