database,ambition_view,Region,outcome,outcome_label,n_comparable_cells,n_robust_cells,matched_cell_mean_pct,matched_cell_median_pct,robust_matched_cell_mean_pct,robust_matched_cell_median_pct,cells_favour_re,cells_favour_cdr,robust_cells_favour_re,robust_cells_favour_cdr,total_cdr_support,total_re_support
SCI-vetted,All ambitions,R10EUROPE,headcount_pct,Deprived share,2,1,13.236669532912678,13.236669532912678,20.064019788091667,20.064019788091667,2,0,1,0,10,4
SCI-vetted,All ambitions,R10EUROPE,mortality_million_deaths,PM2.5 mortality,2,1,7.700797820614497,7.700797820614497,12.417389149475943,12.417389149475943,2,0,1,0,10,4
SCI-vetted,All ambitions,R10EUROPE,total_energy_jobyears_per_1k,Employment,2,1,8.567621536577045,8.567621536577045,12.399325187558224,12.399325187558224,2,0,1,0,10,4
SCI-vetted,All ambitions,R10INDIA+,gap_GJ_pc,DLE gap,2,1,5.875775123511719,5.875775123511719,1.9162327300967086,1.9162327300967086,2,0,1,0,10,4
SCI-vetted,All ambitions,R10INDIA+,headcount_pct,Deprived share,2,1,-5.031114980257957,-5.031114980257957,-8.134623537992873,-8.134623537992873,0,2,0,1,10,4
SCI-vetted,All ambitions,R10INDIA+,mortality_million_deaths,PM2.5 mortality,2,1,13.113065938049667,13.113065938049667,6.417456436570248,6.417456436570248,2,0,1,0,10,4
SCI-vetted,All ambitions,R10INDIA+,total_energy_jobyears_per_1k,Employment,2,1,35.91852361582892,35.91852361582892,35.91833747028098,35.91833747028098,2,0,1,0,10,4
SCI-vetted,All ambitions,R10LATIN_AM,gap_GJ_pc,DLE gap,2,1,11.024238810607681,11.024238810607681,13.268584248313589,13.268584248313589,2,0,1,0,10,4
SCI-vetted,All ambitions,R10LATIN_AM,headcount_pct,Deprived share,2,1,10.515240226688741,10.515240226688741,21.366370654799777,21.366370654799777,1,1,1,0,10,4
SCI-vetted,All ambitions,R10LATIN_AM,mortality_million_deaths,PM2.5 mortality,2,1,2.039791586183555,2.039791586183555,3.4589631689628866,3.4589631689628866,2,0,1,0,10,4
